population,lineage,day,date,batch,replicate,temperature,mean_density,sd_density,batch_day
11,1,0,13.04.18,1,,20,500,NA,0
11,1,3,16.04.18,1,,20,132755.0919,23967.86383,3
11,1,4,17.04.18,1,,20,383780.7584,54398.24427,4
11,1,5,18.04.18,1,,20,585176.3537,68202.60936,5
11,1,6,19.04.18,1,,20,705037.2578,120387.3006,6
11,1,7,20.04.18,1,,20,944361.6493,192018.3064,7
12,1,10,23.04.18,2,,38,3624.242424,484.1907537,3
12,1,11,24.04.18,2,,38,3432.952476,568.7019465,4
12,1,12,25.04.18,2,,38,3845.007452,432.764806,5
12,1,13,26.04.18,2,,38,1949.726776,395.3896636,6
12,1,14,27.04.18,2,,38,2061.500248,487.9844711,7
12,1,16,29.04.18,2,,38,26383.37473,2817.957987,9
12,1,17,30.04.18,2,,38,93001.49031,11094.51593,10
12,1,18,01.05.18,2,,38,191974.1679,54222.058,11
12,1,19,02.05.18,2,,38,121667.1634,3391.864421,12
131,1,21,04.05.18,3,1,38,1452.459016,72.36164775,2
131,1,23,06.05.18,3,1,38,1642.722305,107.6291693,4
131,1,24,07.05.18,3,1,38,1973.869846,7.165910748,5
131,1,25,08.05.18,3,1,38,2303.527074,165.9400116,6
131,1,26,09.05.18,3,1,38,3451.664183,235.6320064,7
131,1,27,10.05.18,3,1,38,7188.276205,2135.722419,8
131,1,28,11.05.18,3,1,38,39362.14605,3906.123898,9
131,1,29,12.05.18,3,1,38,156193.7407,3359.547568,10
132,1,21,04.05.18,3,2,38,1932.141083,407.3328482,2
132,1,23,06.05.18,3,2,38,1596.522603,75.17180883,4
132,1,24,07.05.18,3,2,38,1948.931942,430.7976932,5
132,1,25,08.05.18,3,2,38,3010.730253,308.4151783,6
132,1,26,09.05.18,3,2,38,5135.817188,104.256976,7
132,1,27,10.05.18,3,2,38,13363.63636,457.3537154,8
132,1,28,11.05.18,3,2,38,48469.94536,1361.523042,9
132,1,29,12.05.18,3,2,38,150867.3621,4754.792544,10
141,1,31,14.05.18,4,1,38,5569.796324,373.4704072,2
141,1,32,15.05.18,4,1,38,25509.38897,940.8419288,3
141,1,33,16.05.18,4,1,38,161859.9106,20615.34167,4
141,1,34,17.05.18,4,1,38,224262.2951,41534.18073,5
141,1,35,18.05.18,4,1,38,86083.78871,20728.76307,6
142,1,31,14.05.18,4,2,20,5389.468455,748.2053869,2
142,1,32,15.05.18,4,2,20,28389.07104,4897.548726,3
142,1,33,16.05.18,4,2,20,81280.4769,12837.93987,4
142,1,34,17.05.18,4,2,20,217851.9622,25746.69579,5
142,1,35,18.05.18,4,2,20,505901.6393,36265.12871,6
151,1,36,19.05.18,5,1,38,2757.87382,902.6237382,1
151,1,37,20.05.18,5,1,38,10631.69399,1240.4051,2
151,1,38,21.05.18,5,1,38,133337.3075,14770.20662,3
151,1,39,22.05.18,5,1,38,192504.7193,102879.9971,4
151,1,40,23.05.18,5,1,38,246287.1336,2945.048809,5
152,1,36,19.05.18,5,2,20,3152.111277,173.6679546,1
152,1,37,20.05.18,5,2,20,14837.55589,602.4985351,2
152,1,38,21.05.18,5,2,20,53940.98361,2515.656197,3
152,1,39,22.05.18,5,2,20,197170.3924,2130.102097,4
152,1,40,23.05.18,5,2,20,468896.1749,108168.7202,5
21,2,0,13.04.18,1,,20,500,NA,0
21,2,3,16.04.18,1,,20,105086.9349,6668.512237,3
21,2,4,17.04.18,1,,20,362985.5936,37564.82821,4
21,2,5,18.04.18,1,,20,590968.7034,29970.36789,5
21,2,6,19.04.18,1,,20,764664.6796,135667.5514,6
21,2,7,20.04.18,1,,20,1009319.424,107629.1693,7
22,2,10,23.04.18,2,,38,2837.953304,191.6529855,3
22,2,11,24.04.18,2,,38,2236.661699,560.0651028,4
22,2,12,25.04.18,2,,38,1875.707899,351.972675,5
22,2,13,26.04.18,2,,38,1866.865375,791.6223756,6
22,2,14,27.04.18,2,,38,1292.995529,181.5364056,7
22,2,16,29.04.18,2,,38,3750.554728,808.7115642,9
