population,mean_density,day,temperature
1,4223.694312,1,20
2,5634.135,1,20
3,5804.950416,1,20
4,8957.292288,1,22.5
5,9693.717072,1,22.5
6,9264.482664,1,22.5
7,13898.91986,1,25
8,17808.48948,1,25
9,15727.5905,1,25
10,24838.21616,1,27.5
11,19515.52777,1,27.5
12,19212.84869,1,27.5
13,27702.01061,1,30
14,24622.6146,1,30
15,38975.26217,1,30
16,31687.05273,1,32.5
17,34651.27527,1,32.5
18,30452.42495,1,32.5
19,21901.49179,1,35
20,21039.48408,1,35
21,30313.53929,1,35
22,11036.52821,1,37.5
23,9849.125545,1,37.5
24,9751.885655,1,37.5
25,1075.81591,1,40
26,741.8526828,1,40
27,638.0371448,1,40
1,19843.94354,2,20
2,22339.60531,2,20
3,21272.41346,2,20
4,37513.51548,2,22.5
5,48176.88163,2,22.5
6,43467.09149,2,22.5
7,61685.39928,2,25
8,112500.0962,2,25
9,56681.13168,2,25
10,125767.7618,2,27.5
11,86548.63478,2,27.5
12,81580.88794,2,27.5
13,126384.9163,2,30
14,86644.3284,2,30
15,111487.2232,2,30
16,70752.25382,2,32.5
17,77882.81508,2,32.5
18,134398.2165,2,32.5
19,70511.63292,2,35
20,21427.0488,2,35
21,84206.91492,2,35
22,20024.00472,2,37.5
23,16299.11916,2,37.5
24,22260.32292,2,37.5
1,78424.38547,3,20
2,46980.018,3,20
3,76550.26992,3,20
4,156993.0048,3,22.5
5,90888.13224,3,22.5
6,175008.3682,3,22.5
7,164713.2144,3,25
8,174763.3555,3,25
9,202620.8304,3,25
10,135265.4688,3,27.5
11,152638.2518,3,27.5
12,150345.3034,3,27.5
13,197963.2788,3,30
14,157744.2228,3,30
15,162829.3908,3,30
16,123680.5315,3,32.5
17,112003.1366,3,32.5
18,116108.2541,3,32.5
19,134768.5092,3,35
20,82213.29792,3,35
21,156576.9456,3,35
22,41089.31316,3,37.5
23,21746.02752,3,37.5
24,32404.07736,3,37.5
1,207877.045,4,20
2,144950.4024,4,20
3,169447.0435,4,20
4,562900.3603,4,22.5
5,562012.7674,4,22.5
6,586264.3958,4,22.5
7,503362.2888,4,25
8,769251.8549,4,25
9,729878.7859,4,25
10,672555.0739,4,27.5
11,783078.889,4,27.5
12,670151.1763,4,27.5
13,267318.036,4,30
14,216420.1272,4,30
15,413932.6752,4,30
16,299488.6579,4,32.5
17,221694.8333,4,32.5
18,231680.2541,4,32.5
19,312904.2557,4,35
20,147848.9482,4,35
21,342453.7046,4,35
22,53033.67936,4,37.5
23,47703.49872,4,37.5
24,67734.43776,4,37.5
1,498891.9638,5,20
2,354436.2096,5,20
3,389117.0554,5,20
4,686996.951,5,22.5
5,550987.1986,5,22.5
6,588058.0733,5,22.5
7,884449.4016,5,25
8,703694.7936,5,25
9,639122.4058,5,25
10,692414.9664,5,27.5
11,623718.9696,5,27.5
12,884264.4864,5,27.5
13,427500.828,5,30
14,472758.8232,5,30
15,535237.0464,5,30
16,288560.1696,5,32.5
17,257346.4838,5,32.5
18,234638.8973,5,32.5
19,148519.2658,5,35
20,235087.3166,5,35
21,116857.1606,5,35
22,112067.857,5,37.5
23,87372.432,5,37.5
24,114887.8138,5,37.5
1,605324.5301,6,20
2,649898.339,6,20
3,682309.3507,6,20
4,870728.6938,6,22.5
5,655228.5197,6,22.5
6,957102.5837,6,22.5
7,628804.1376,6,25
8,420219.792,6,25
9,585811.3536,6,25
10,357602.8824,6,27.5
11,536947.512,6,27.5
12,642164.2608,6,27.5
13,314147.8104,6,30
14,208445.6592,6,30
15,259297.3392,6,30
16,335195.783,6,32.5
17,133804.6387,6,32.5
18,224967.8323,6,32.5
19,230413.585,6,35
20,210886.5398,6,35
21,270050.1581,6,35
22,126019.7088,6,37.5
23,92503.8288,6,37.5
24,112095.5942,6,37.5
1,672703.0061,7,20
2,693210.1018,7,20
3,696834.4397,7,20
4,721955.1696,7,22.5
5,690843.1872,7,22.5
6,749992.9368,7,22.5
7,322076.0496,7,25
8,516260.124,7,25
9,579431.7792,7,25
10,534081.3264,7,27.5
11,304971.3936,7,27.5
12,438734.4264,7,27.5
13,278644.092,7,30
14,397798.824,7,30
15,364768.3464,7,30
16,228222.3398,7,32.5
17,181068.9638,7,32.5
18,215352.2419,7,32.5
19,269176.4338,7,35
20,304402.7794,7,35
21,230871.2501,7,35
22,98106.75936,7,37.5
23,121387.583,7,37.5
24,96035.70912,7,37.5
1,613063.2312,8,20
2,960472.6632,8,20
3,772598.82,8,20
4,799157.2656,8,22.5
5,585441.5232,8,22.5
6,865796.0808,8,22.5
7,629428.2264,8,25
8,627579.0744,8,25
9,678685.0128,8,25
10,487274.6664,8,27.5
11,337123.524,8,27.5
12,624897.804,8,27.5
13,309344.6381,8,30
14,290076.4742,8,30
15,333291.1565,8,30
16,194253.4176,8,32.5
17,331867.3094,8,32.5
18,254850.1286,8,32.5
19,160261.381,8,35
20,225208.2221,8,35
21,106048.8672,8,35
22,51924.18816,8,37.5
23,81492.12864,8,37.5
24,66587.96352,8,37.5
1,583800.4008,9,20
2,890597.832,9,20
3,959386.2864,9,20
4,636755.4912,9,22.5
5,878000.484,9,22.5
6,1075767.29,9,22.5
7,640060.8504,9,25
8,764763.0384,9,25
9,717933.264,9,25
10,370570.0608,9,27.5
11,542485.7222,9,27.5
12,344589.4752,9,27.5
13,230482.9282,9,30
14,320032.7366,9,30
15,264155.9861,9,30
16,184036.8528,9,32.5
17,187504.0128,9,32.5
18,129754.9958,9,32.5
19,92152.48992,9,35
20,128825.797,9,35
21,2603.83716,9,35
22,1515.14892,9,37.5
1,705636.4032,10,20
2,703278.7344,10,20
3,669023.1936,10,20
4,428702.7768,10,22.5
5,211982.1624,10,22.5
6,627625.3032,10,22.5
7,599125.248,10,25
8,88042.7496,10,25
9,522570.3552,10,25
10,5454.9984,10,27.5
11,22319.26464,10,27.5
12,18537.7488,10,27.5
13,37075.4976,10,30
14,87617.44464,10,30
15,86078.0256,10,30
16,145537.5082,10,32.5
17,182945.8531,10,32.5
18,119399.7446,10,32.5
20,325.8751475,10,35
21,28.893,10,35
24,491.643288,10,37.5
1,656042.1466,11,20
2,654683.0198,11,20
3,693709.3728,11,20
6,9223.339032,11,22.5
7,907.702488,11,25
9,876.498048,11,25
14,50650.58472,11,30
15,3684.43536,11,30
6,7845.02736,11,22.5
13,9867.53736,11,30
1,682725.4099,12,20
2,523014.1517,12,20
3,761568.6283,12,20
17,319.0577436,12,32.5
18,57.786,12,32.5
1,500,0,20
2,500,0,20
3,500,0,20
4,500,0,22.5
5,500,0,22.5
6,500,0,22.5
7,500,0,25
8,500,0,25
9,500,0,25
10,500,0,27.5
11,500,0,27.5
12,500,0,27.5
13,500,0,30
14,500,0,30
15,500,0,30
16,500,0,32.5
17,500,0,32.5
18,500,0,32.5
19,500,0,35
20,500,0,35
21,500,0,35
22,500,0,37.5
23,500,0,37.5
24,500,0,37.5
25,500,0,40
26,500,0,40
27,500,0,40
28,500,0,42.5
29,500,0,42.5
30,500,0,42.5
